Date Added,Contact Name,Company,Role,Company Type,Location,Website,Email,Lead Source,Fit Score,Gap / Angle,Email Status,Follow-up Stage,Reply Status,Meeting Booked,Notes
2026-06-18,(founder n/a),Group 8A,Founder/Owner,Marketing Agency (performance/e-comm),"New York, US",group8a.com,sales@group8a.com,Web search,8,"Performance shop reliant on referrals; condition-based prospecting for e-comm clients w/ weak email-SMS",Drafted,None,No Reply,No,"Liverpool LA case study (336% rev). Draft in Gmail."
2026-06-18,Jimmy Page,Hudson Creative,President & Founder,Marketing Agency (full-service),"New York, US",hudsoncreative.com,info@hudsoncreative.com,Web search,8,"Growth-stage agency; find prospects for own web/SEO svc via outdated-site / no-reviews conditions",Drafted,None,No Reply,No,"Founded 2014, print shop -> Manhattan story. Draft in Gmail."
2026-06-18,(founder n/a),DD.NYC,Founder/Owner,Design/Web Agency,"New York, US",dd.nyc,hello@dd.nyc,Web search,7,"Inbound-heavy award studio; outbound to DTC/funded brands w/ dated site or weak brand",Drafted,None,No Reply,No,"FIFA WC 2026 NY/NJ site, award-winning. Draft in Gmail."
2026-06-18,(founder n/a),Silky Ocean Studios,Founder/Owner,Web Design Agency,"Reading, UK",silkyoceanstudios.com,hello@silkyoceanstudios.com,Web search,8,"States most work is referral-only -> no proactive outbound; local small-biz w/ outdated sites",Drafted,None,No Reply,No,"10+ yrs small-biz web. Draft in Gmail."
2026-06-18,Becca,Homemade Social,CEO,Social Media Agency (beauty/wellness/F&B),"Phoenix, US",homemadesocial.com,,Web search,7,"No public email found - need LinkedIn/contact-form route before outreach",Not Sent,None,No Reply,No,"SKIPPED: no confirmable email. Grew a client 2k->22k IG."
2026-06-18,Evan / Nick Ernst,Ernst Media,Founder / CEO,Marketing Agency (SEO/PPC/social),US,ernstmedia.com,,Web search,6,"Email masked on site - need to verify address before outreach",Not Sent,None,No Reply,No,"SKIPPED: email not confirmable. <100 clients in 15 yrs."
2026-06-18,(founder n/a),Blackhawk Digital Marketing,Founder/Owner,Marketing Agency,"Austin, US",blackhawkdm.com,hello@blackhawkdm.com,Google Maps,8,"Runs localized marketing across 4 TX metros -> per-metro + condition prospecting",Drafted,None,No Reply,No,"Austin/Dallas/Houston/SA location pages. Draft in Gmail."
2026-06-18,(founder n/a),HMG Creative,Founder/Owner,Marketing Agency,"Austin, US",hmgcreative.com,hello@hmgcreative.com,Google Maps,7,"'Extension of your team' retainer model -> keep client+own pipeline full",Drafted,None,No Reply,No,"3 engagement models. Draft in Gmail."
2026-06-18,(founder n/a),Idea Peddler,Founder/Owner,Creative/Marketing Agency,"Austin, US",ideapeddler.com,hello@ideapeddler.com,Google Maps,7,"3D animation/motion niche -> target DTC w/ static pages or funded w/ no brand",Drafted,None,No Reply,No,"Austin + Santa Fe offices. Draft in Gmail."
2026-06-18,(founder n/a),Envision Creative,Founder/Owner,Marketing/Branding Agency,"Austin, US",envision-creative.com,sales@envision-creative.com,Google Maps,7,"5|E Repositioning Formula -> target dated-brand / inconsistent-messaging cos",Drafted,None,No Reply,No,"Proprietary methodology hook. Draft in Gmail."
2026-06-18,(founder n/a),RG Agency,Founder/Owner,Marketing Agency,"Austin, US",rgagencyusa.com,contact@rgagencyusa.com,Google Maps,8,"$139K->$250K+ client result -> mirror back to fill their own pipeline",Drafted,None,No Reply,No,"10+ yrs results-driven. Draft in Gmail."
2026-06-18,(founder n/a),Digital Corsel,Founder/Owner,Digital Marketing/SEO Agency,"Bengaluru, IN",digitalcorsel.com,info@digitalcorsel.com,Google Maps,8,"500+ reviews, nationwide clients -> keep new-client pipeline full via condition targeting",Drafted,None,No Reply,No,"4.8(516). Draft in Gmail."
2026-06-18,(founder n/a),Monaqo,Founder/Owner,Growth Marketing Agency (B2B/D2C/apps),"Bengaluru, IN",monaqo.in,contact@monaqo.in,Google Maps,9,"Full-funnel B2B/D2C needs steady TOFU -> D2C weak email/SMS, B2B no-outbound conditions",Drafted,None,No Reply,No,"100+ brands India/US/UK/APAC. Draft in Gmail."
2026-06-18,(founder n/a),Mathew Digital,Founder/Owner,Performance Marketing Agency,"Bengaluru, IN",mathewdigital.com,hello@mathewdigital.com,Google Maps,8,"Amazon Ads/marketplace niche -> target D2C brands on Amazon w/ thin ad presence",Drafted,None,No Reply,No,"Performance + Amazon Ads. Draft in Gmail."
2026-06-18,Balaji,Thistle Media,Founder/Owner,Digital Branding Agency,"Bengaluru, IN",thistle.media,balaji@thistle.media,Google Maps,8,"16+ yrs enterprise SEO-to-branding stack -> enterprises w/ weak search / dated site",Drafted,None,No Reply,No,"5.0(175), 16+ yrs. Addressed Balaji. Draft in Gmail."
2026-06-18,(founder n/a),Beta Digital Marketing,Founder/Owner,Digital Marketing Agency,"Bengaluru, IN",betadigitalmarketing.com,hello@betadigitalmarketing.com,Google Maps,8,"Self-brands 'AI-powered' -> Flowfiy complements; condition targeting on local biz",Drafted,None,No Reply,No,"5.0(201), AI-positioned. Draft in Gmail."
